dataset,p,alpha,obj(GVNS),time(GVNS),obj(DLHr-GVNS),time(DLHr-GVNS),obj(cplex),time(cplex)
tr,2,0.3,48754760892,1.822,48754760892,1.054,48754760892,500.164
tr,2,0.5,52724373730,1.446,52724373730,1.608,52724373730,907.361
tr,2,0.7,56188480980,1.624,56188480980,2.221,56188480980,3416.033
tr,3,0.3,42266829110,0.881,42266829110,3.39,42266829110,1910.71
tr,3,0.5,47400043558,1.469,47400043558,0.642,47400043558,4670.138
tr,3,0.7,52172281663,6.733,52172281663,5.643,52235808488,14403.034
tr,4,0.3,37511720409,7.169,37511720409,2.609,37511720409,7369.878
tr,4,0.5,43776862242,10.146,43770877822,19.586,43767885612,14007.226
tr,4,0.7,49044850897,8.488,49044850897,9.403,49200011569,14404.177
tr,5,0.3,33363347416,7.729,33363347416,16.712,33363347416,2891.856
tr,5,0.5,40480472430,25.041,40474664028,11.931,40473110262,12237.503
tr,5,0.7,46391737192,18.712,46391737192,23.015,46391737192,14401.766
cab50,2,0.3,1873241700,0.084,1873241700,0.04,1873241700,20.743
cab50,2,0.5,1976810550,0.158,1976810550,0.044,1976810550,15.093
cab50,2,0.7,2075904736,0.17,2075904736,0.048,2075904736,22.869
cab50,3,0.3,1622125921,0.191,1622125921,0.422,1622125921,188.641
cab50,3,0.5,1760986754,0.097,1760986754,0.218,1760986754,154.566
cab50,3,0.7,1894861743,0.134,1894861743,0.066,1894861743,238.731
cab50,4,0.3,1335362241,1.095,1335362241,1.125,1335362241,35.079
cab50,4,0.5,1515969673,1.365,1515969673,0.931,1515969673,40.186
cab50,4,0.7,1696577105,1.981,1696577105,2.426,1696577105,68.167
cab50,5,0.3,1155541159,1.187,1155541159,1.725,1154303420,23.84
cab50,5,0.5,1375743516,3.353,1375743516,3.067,1375743516,61.616
cab50,5,0.7,1573716473,3.997,1573716473,4.5,1573716473,57.178
cab100,2,0.3,17115830281,0.072,17115830281,0.113,17115830281,1251.873
cab100,2,0.5,18362065271,0.117,18362065271,0.14,18362065271,2048.964
cab100,2,0.7,19608300261,0.122,19608300261,0.137,19608300261,1561.982
cab100,3,0.3,13946562413,4.548,13946562413,7.994,13930218681,1673.283
cab100,3,0.5,15828206521,5.123,15828206521,5.101,15800720878,5388.356
cab100,3,0.7,17620532271,2.155,17620532271,2.722,17612403391,14400.998
cab100,4,0.3,12141433763,6.42,12141433763,3.943,12124935075,3312.575
cab100,4,0.5,14297937515,4.077,14297937515,4.463,14394289911,14400.795
cab100,4,0.7,16399767575,10.154,16399767575,10.576,16384418254,14401.188
cab100,5,0.3,10843034082,9.725,10843034082,14.993,10829962482,2668.746
cab100,5,0.5,13130692290,8.842,13106277603,5.82,13106277603,14400.699
cab100,5,0.7,15242503718,7.095,15242503718,6.731,15264590713,14400.656
cab100,6,0.3,10175921078,12.329,10163852294,22.621,10163852294,12533.98
cab100,6,0.5,12498369686,20.977,12490105065,14.287,12490105065,14672.555
cab100,6,0.7,14668876169,26.205,14668876169,33.391,14711899676,14623.727
cab100,7,0.3,9525824454,15.316,9525824454,29.846,9513755670,14653.4
cab100,7,0.5,11975083684,53.585,11967426859,68.966,11992774308,14639.867
cab100,7,0.7,14227153009,56.132,14209089368,44.915,14289138296,14655.095
cab100,8,0.3,8902040193,52.159,8891217030,60.384,8891217030,6692.844
cab100,8,0.5,11465372383,48.747,11459268904,56.742,11459268904,14531.812
cab100,8,0.7,13762553213,67.658,13762553213,60.285,13837557084,14502.08
cab100,9,0.3,8390928351,69.127,8390928351,60.339,8377962731,1993.691
cab100,9,0.5,10970696251,86.115,10982398969,88.284,11084168064,14507.771
cab100,9,0.7,13381632589,82.027,13383754229,50.514,13478908978,14494.527
cab100,10,0.3,7941075136,58.969,7930225961,91.099,7930225961,1494.508
cab100,10,0.5,10508605478,48.811,10513994337,92.439,10682544026,14400.691
cab100,10,0.7,13025166328,82.173,13003404574,102.077,13173761125,14400.586
ap50,2,0.3,717801.226,0.076,717801.226,0.064,717801.226,36.268
ap50,2,0.5,765942.365,0.077,765942.365,0.082,765942.365,58.138
ap50,2,0.7,811274.149,0.118,811274.149,0.105,811274.149,104.968
ap50,3,0.3,635193.643,0.449,635193.643,0.197,635193.643,93.911
ap50,3,0.5,698834.287,2.144,698834.287,1.389,698834.287,222.79
ap50,3,0.7,753728.322,2.052,753728.322,1.859,753728.322,331.42
ap50,4,0.3,575295.12,1.898,575295.12,2.903,575295.12,157.832
ap50,4,0.5,644021.614,2.318,644021.614,3.586,644021.614,353.352
ap50,4,0.7,705716.713,3.804,705716.713,3.112,705716.713,408.227
ap50,5,0.3,538054.467,6.832,537336.132,6.66,537336.132,396.089
ap50,5,0.5,612647.829,10.134,612481.914,9.167,612481.914,265.446
ap50,5,0.7,681017.89,5.703,680745.441,7.834,680745.441,419.045
ap100,2,0.3,729854.125,0.167,729854.125,0.145,729854.125,1122.033
ap100,2,0.5,778867.399,0.278,778867.399,0.376,778867.399,1792.83
ap100,2,0.7,823865.58,0.719,823865.58,2.188,823865.58,4935.209
ap100,3,0.3,647069.085,0.646,647069.085,0.518,647100.127,2442.712
ap100,3,0.5,710373.993,6.522,710373.993,3.188,710373.993,6275.703
ap100,3,0.7,766440.466,2.409,766440.466,3.451,766454.111,14400.869
ap100,4,0.3,589777.068,7.459,589777.068,7.662,589777.068,3629.554
ap100,4,0.5,658291.677,8.33,658291.677,15.491,658291.677,12758.075
ap100,4,0.7,721166.027,9.85,721166.027,15.632,721166.027,14400.653
ap100,5,0.3,555016.833,43.131,554738.626,33.702,554738.626,13186.404
ap100,5,0.5,628818.914,33.319,628818.914,41.368,632943.722,14400.998
ap100,5,0.7,698483.704,31.694,698483.704,38.213,702954.642,14400.629
ap100,6,0.3,523677.653,39.262,523655.078,21.325,523655.078,14478.247
ap100,6,0.5,602753.49,50.555,602287.829,48.343,606053.912,14461.806
ap100,6,0.7,677284.015,56.239,677363.884,63.473,678442.762,14503.14
ap100,7,0.3,498327.886,60.105,498208.558,40.453,499053.746,14473.962
ap100,7,0.5,581856.027,80.874,580486.309,49.553,585099.611,14453.381
ap100,7,0.7,657233.052,81.978,656836.15,52.226,662376.862,14459.613
ap100,8,0.3,475558.217,65.638,475469.007,88.012,475131.009,14468.216
ap100,8,0.5,560693.94,60.69,559444.154,63.026,563615.917,14697.436
ap100,8,0.7,640794.047,108.214,638641.574,118.231,637887.221,14673.548
ap100,9,0.3,456717.82,84.007,453653.572,46.283,452986.783,14659.238
ap100,9,0.5,542471.722,75.505,540544.553,81.635,538642.058,14476.758
ap100,9,0.7,625846.289,104.565,625258.891,117.751,625258.891,14471.04
ap100,10,0.3,436247.281,106.004,436346.687,86.791,435521.437,14400.719
ap100,10,0.5,530998.237,111.854,526510.935,82.481,528218.098,14400.781
ap100,10,0.7,616482.267,116.293,613107.099,124.23,621183.179,14400.551
ap,2,0.3,738209.624,0.308,738209.624,0.288,3166379.458,25496.369
ap,2,0.5,785564.44,1.883,785564.44,2.742,3170914.503,25432.325
ap,2,0.7,826592.068,0.433,826592.068,5.025,3175449.548,25313.46
ap,3,0.3,656008.549,1.172,656008.549,1.657,3149668.164,25313.932
ap,3,0.5,717274.068,1.45,717274.068,1.894,3165878.651,25386.695
ap,3,0.7,774653.855,2.506,774653.855,2.659,3182089.138,25380.315
ap,4,0.3,596284.29,3.833,596284.29,3.126,3176505.388,25247.39
ap,4,0.5,663269.701,39.908,663269.701,43.94,3217686.73,25296.506
ap,4,0.7,727744.152,60.872,727744.152,67.399,3258868.072,25331.099
ap,5,0.3,565512.693,221.143,565641.697,127.362,3165601.089,25292.285
ap,5,0.5,637592.888,67.047,637861.271,85.372,3198258.837,25285.671
ap,5,0.7,706481.544,182.027,706481.544,137.082,3230916.586,25378.054
ap,6,0.3,535118.044,144.755,534999.727,133.71,3164861.073,25321.283
ap,6,0.5,613297.12,154.188,613297.12,153.828,3209015.025,25387.823
ap,6,0.7,686506.75,410.451,686418.456,150.079,3286180.337,25299.784
ap,7,0.3,508291.52,356.074,508260.972,214.151,3197970.075,25347.102
ap,7,0.5,590896.275,265.826,590933.73,215.458,3252530.349,25335.69
ap,7,0.7,666907.273,347.283,668143.364,103.507,3149352.177,25271.033
ap,8,0.3,482731.103,467.977,483841.092,292.651,3231079.078,25333.049
ap,8,0.5,569627.214,460.359,570158.971,218.225,3148585.693,25364.619
ap,8,0.7,648086.589,324.516,649537.601,205.228,3224457.441,25263.791
ap,9,0.3,462294.325,496.162,462622.792,362.363,3165499.701,25339.326
ap,9,0.5,549679.816,339.95,549830.054,243.396,3217383.015,25268.285
ap,9,0.7,634110.708,448.465,634678.423,220.807,3299562.705,25287.225
ap,10,0.3,445210.339,499.589,445346.947,342.478,499442.241,25379.315
ap,10,0.5,537427.617,480.472,537916.817,231.574,3223470.666,25343.749
ap,10,0.7,623628.969,391.448,625090.284,137.501,3298624.933,25304.189
